"Index","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
2016-07-11 12:25:00,6,7,10,1,3,9,4,0,11,0,4,12,12,11,7,6,5,11,14,1,32,13,16,9,20,50,38,30,71,28,60
2016-07-11 12:30:00,27,6,4,12,0,15,0,3,0,7,20,7,8,1,10,0,22,5,13,0,12,3,5,16,175,29,29,19,35,35,98
2016-07-11 12:35:00,7,4,4,1,5,6,1,1,0,1,22,0,4,0,17,9,8,0,3,8,7,0,11,12,56,14,46,23,36,62,40
2016-07-11 12:40:00,8,27,5,1,1,2,3,31,10,6,20,2,4,8,8,6,0,9,5,4,6,18,9,6,56,8,40,24,43,40,60
2016-07-11 12:45:00,28,22,8,11,0,14,0,19,7,5,1,0,6,20,15,0,9,12,2,7,9,9,8,3,32,51,32,26,28,28,36
2016-07-11 12:50:00,3,39,12,3,0,9,3,0,7,0,1,4,11,5,5,18,11,4,31,7,5,21,6,8,23,58,26,15,67,31,35
2016-07-11 12:55:00,0,10,8,3,10,4,4,0,2,15,1,13,3,13,5,15,4,11,17,3,0,21,24,6,13,4,18,90,65,39,59
2016-07-11 13:00:00,0,44,0,30,0,0,0,0,1,12,1,5,4,2,7,4,4,16,1,7,14,3,15,5,26,27,35,30,42,38,35
2016-07-11 13:05:00,12,15,7,19,4,1,3,0,6,2,2,3,3,0,12,9,1,7,2,11,1,17,12,0,13,23,33,10,23,54,31
2016-07-11 13:10:00,6,10,3,6,11,0,1,0,0,11,4,5,3,1,4,8,6,0,11,9,0,5,35,0,16,15,18,19,62,51,28
2016-07-11 13:15:00,0,0,7,1,3,1,5,0,0,2,8,5,0,13,15,10,7,6,11,9,1,12,1,32,55,43,56,24,33,39,23
2016-07-11 13:20:00,0,6,14,0,0,17,16,6,1,4,0,16,3,0,2,3,3,0,1,5,1,5,8,7,74,75,31,7,44,29,12
2016-07-11 13:25:00,1,3,0,32,1,19,12,8,1,2,17,2,0,5,0,6,0,4,4,10,4,21,15,13,8,160,22,41,55,48,18
2016-07-11 13:30:00,0,0,4,19,0,4,3,0,3,4,10,1,0,5,5,11,6,8,6,1,11,14,8,6,12,35,20,15,62,31,75
2016-07-11 13:35:00,0,0,1,2,7,0,0,7,4,7,14,2,22,19,20,16,14,17,8,0,0,18,1,22,14,26,30,29,92,29,34
2016-07-11 13:40:00,0,4,2,0,7,8,6,11,0,0,4,2,11,8,9,6,8,3,10,33,2,3,22,2,6,57,23,30,40,44,30
2016-07-11 13:45:00,1,0,6,1,17,4,5,9,4,6,6,9,1,0,7,16,3,6,1,12,0,9,8,4,6,61,21,11,22,43,22
2016-07-11 13:50:00,3,16,2,15,4,0,12,4,2,0,15,5,0,4,5,17,15,3,9,14,6,11,1,13,10,12,17,29,26,61,40
2016-07-11 13:55:00,14,2,9,8,8,11,5,5,2,0,0,0,0,0,4,10,0,0,7,29,8,13,21,20,14,26,14,24,41,56,72
2016-07-11 14:00:00,16,8,3,4,8,0,0,10,4,25,2,5,4,6,1,17,1,12,11,10,6,6,9,5,11,56,23,4,16,47,49
2016-07-11 14:05:00,6,9,2,20,11,21,12,0,21,6,1,9,0,12,4,2,8,15,4,22,5,6,34,14,14,31,14,9,50,61,28
2016-07-11 14:10:00,2,6,10,0,4,12,9,0,7,5,1,8,8,1,11,5,7,12,12,4,1,20,6,17,16,19,29,14,12,47,45
2016-07-11 14:15:00,5,4,4,9,9,0,18,1,0,3,5,1,20,4,6,9,15,12,1,4,12,21,19,25,30,59,31,22,26,30,63
2016-07-11 14:20:00,0,0,14,0,4,11,0,0,1,1,0,2,4,7,10,11,12,5,10,6,1,20,9,17,14,36,45,29,80,70,49
2016-07-11 14:25:00,6,39,10,6,6,1,3,0,0,14,1,9,8,2,0,8,5,16,18,26,4,11,21,16,11,41,44,50,15,41,24
2016-07-11 14:30:00,1,20,1,3,0,9,7,0,3,2,0,26,3,4,3,1,20,2,35,3,4,4,19,8,10,50,17,82,53,32,26
2016-07-11 14:35:00,16,8,0,6,0,5,3,16,21,7,0,5,0,7,15,5,1,1,24,8,6,15,9,9,17,29,99,16,17,30,52
2016-07-11 14:40:00,7,11,0,3,22,0,0,3,0,0,1,0,3,0,4,9,10,6,23,11,5,2,36,11,51,52,58,35,16,48,44
2016-07-11 14:45:00,3,46,0,4,10,4,12,4,0,3,8,5,4,0,0,0,2,9,26,7,2,10,9,18,26,60,19,27,20,23,56
2016-07-11 14:50:00,16,5,0,8,6,6,2,0,0,0,6,6,0,7,2,10,7,25,13,14,11,6,0,23,12,73,14,28,18,4,88
2016-07-11 14:55:00,0,1,0,10,8,0,0,4,5,9,0,3,5,4,7,11,7,1,12,5,36,13,6,20,12,28,42,24,33,19,27
